customer_id,nik,npwp,full_name,gender,birth_date,province,city,segment,credit_score,monthly_income,phone,email,created_at,updated_at
CUST003407,7008490402,,Andi Lestari,M,1984-12-03,Jawa Tengah,Magelang,Senyumku,631,11079237,08225089603,andi3407@example.co.id,2024-01-15 00:00:00,2024-01-15 00:00:00
CUST000758,7459732101,35.472.780.1-508.741,Agus Lestari,M,1983-11-01,Bali,Denpasar,Tunaiku,686,8794996,08254226765,agus758@example.co.id,2023-01-01 00:00:00,2023-01-01 00:00:00
CUST003625,4829312208,90.111.246.1-332.120,Yusuf Suryadi,M,1996-02-07,Jawa Barat,Cimahi,Tunaiku,602,4999935,08183143789,yusuf3625@example.co.id,2022-08-23 00:00:00,2022-08-23 00:00:00
CUST004545,2039010111,16.640.609.9-202.585,Joko Hidayat,M,1995-07-03,Jawa Barat,Depok,SMB,563,2976081,08467987851,joko4545@example.co.id,2025-03-06 00:00:00,2025-03-06 00:00:00
CUST003236,4413340503,62.861.864.3-216.402,Agus Nugroho,M,1999-12-02,Jawa Tengah,Semarang,Senyumku,608,14166727,08552872965,agus3236@example.co.id,2022-12-29 00:00:00,2022-12-29 00:00:00
CUST001869,6170660104,70.990.691.6-751.165,Wahyu Maulana,M,1990-01-05,DKI Jakarta,Jakarta Selatan,Tunaiku,689,17422284,08372573929,wahyu1869@example.co.id,2023-03-04 00:00:00,2023-03-04 00:00:00
CUST002917,8043930509,55.887.806.9-338.377,Bayu Wijaya,M,1985-10-07,Jawa Barat,Bogor,Senyumku,626,13619779,08540160087,bayu2917@example.co.id,2023-11-14 00:00:00,2023-11-14 00:00:00
CUST003336,6468630702,,Dewi Saputra,F,1979-12-11,Banten,Tangerang Selatan,Tunaiku,523,13555499,08361969663,dewi3336@example.co.id,2023-02-05 00:00:00,2023-02-05 00:00:00
CUST003528,3162101908,58.271.395.3-720.870,Rizki Nugroho,M,1989-09-12,Jawa Barat,Depok,Senyumku,560,3666720,08438534846,rizki3528@example.co.id,2024-04-14 00:00:00,2024-04-14 00:00:00
CUST002828,7661150801,,Lestari Rahmawati,F,1992-12-24,Banten,Tangerang Selatan,Tunaiku,707,8084055,08645056819,lestari2828@example.co.id,2022-09-27 00:00:00,2022-09-27 00:00:00
CUST004393,4394762802932880,78.768.750.7-793.557,Sri Suryadi,F,1980-11-10,DKI Jakarta,Jakarta Selatan,Senyumku,9999,9324806,08423945835,sri4393@example.co.id,2021-05-29 00:00:00,2021-05-29 00:00:00
CUST003485,6942550408914022,67.254.155.2-587.971,Ayu Kurniawan,F,1980-12-16,Jawa Timur,Sidoarjo,Tunaiku,0,6175625,08118541871,ayu3485@example.co.id,2025-03-25 00:00:00,2025-03-25 00:00:00
CUST002962,9086611011396772,15.599.217.2-718.639,Andi Maulana,M,1994-05-08,Bali,Denpasar,SMB,-5,10786910,08619119076,andi2962@example.co.id,2023-04-12 00:00:00,2023-04-12 00:00:00
CUST003216,9486490910154986,37.351.604.6-963.283,Hendra Pratama,M,1977-02-24,Jawa Barat,Depok,Tunaiku,-5,7787268,08122935037,hendra3216@example.co.id,2025-12-30 00:00:00,2025-12-30 00:00:00
CUST004302,6244801105360619,81.612.443.1-301.921,Yusuf Gunawan,M,1988-10-11,DKI Jakarta,Jakarta Selatan,Tunaiku,1200,18409669,08831816744,yusuf4302@example.co.id,2023-06-27 00:00:00,2023-06-27 00:00:00
CUST000616,2204560111989721,,Lestari Kurniawan,F,1984-02-21,DKI Jakarta,Jakarta Barat,SMB,9999,8128153,08920572666,lestari616@example.co.id,2021-07-10 00:00:00,2021-07-10 00:00:00
CUST000641,7333471501454934,76.893.779.8-215.376,Fitri Halim,F,1986-07-18,DKI Jakarta,Jakarta Utara,Tunaiku,0,8197738,08995872544,fitri641@example.co.id,2024-09-20 00:00:00,2024-09-20 00:00:00
CUST003709,8093040508768160,99.237.608.4-112.214,Rina Santoso,F,1988-02-12,Jawa Timur,Gresik,Tunaiku,1200,8482931,08793879098,rina3709@example.co.id,2026-03-02 00:00:00,2026-03-02 00:00:00
CUST002367,1338152311635141,91.384.319.1-585.976,Lestari Saputra,F,1998-04-11,DKI Jakarta,Jakarta Selatan,Senyumku,0,5284019,08323968632,lestari2367@example.co.id,2025-11-08 00:00:00,2025-11-08 00:00:00
CUST002756,6795982809521147,39.914.331.9-501.312,Dewi Suryadi,F,1993-03-24,Sumatera Utara,Medan,Tunaiku,9999,7283208,08926022921,dewi2756@example.co.id,2023-04-13 00:00:00,2023-04-13 00:00:00
CUST002319,2641782608980213,,Dedi Santoso,M,1988-03-07,Jawa Barat,Bandung,Tunaiku,627,3860599,08287833796,,2023-03-02 00:00:00,2023-03-02 00:00:00
CUST004172,1698920409619912,72.719.122.9-917.360,Bayu Hidayat,M,1998-09-17,Banten,Serang,Senyumku,763,4434264,08920912785,,2026-03-20 00:00:00,2026-03-20 00:00:00
CUST004761,3903131903339433,67.386.622.9-280.384,Agus Santoso,M,1997-02-25,DKI Jakarta,Jakarta Barat,Senyumku,775,15605765,08283450715,,2024-09-09 00:00:00,2024-09-09 00:00:00
CUST002191,3974752709202010,13.114.572.2-316.981,Andi Kurniawan,M,1984-03-11,Banten,Tangerang Selatan,Tunaiku,552,6005007,08398827591,,2025-01-01 00:00:00,2025-01-01 00:00:00
CUST004715,5675671507670721,80.880.170.1-957.464,Lestari Hidayat,F,1982-02-18,Jawa Barat,Cimahi,Senyumku,822,11910589,08241009268,,2023-06-22 00:00:00,2023-06-22 00:00:00
CUST002868,6236761505568996,65.548.766.7-397.388,Yusuf Kurniawan,M,1991-04-21,DKI Jakarta,Jakarta Pusat,Senyumku,588,3751193,08377949458,,2021-12-01 00:00:00,2021-12-01 00:00:00
CUST003732,6256112806732897,27.153.996.8-946.494,Yusuf Lestari,M,1986-10-29,Jawa Barat,Bogor,Senyumku,705,18048056,08582529082,,2021-02-26 00:00:00,2021-02-26 00:00:00
CUST000471,3291041911985061,25.759.672.2-297.733,Wahyu Gunawan,M,2003-12-22,Sulawesi Selatan,Parepare,Tunaiku,575,9407184,08987424245,,2021-07-01 00:00:00,2021-07-01 00:00:00
CUST002531,7408832212513493,39.192.202.2-835.541,Bayu Santoso,M,1993-06-08,DKI Jakarta,Jakarta Timur,Tunaiku,523,4681616,08224005936,,2023-05-03 00:00:00,2023-05-03 00:00:00
CUST002212,3528912710082157,87.985.144.4-560.214,Lestari Kurniawan,F,1995-01-10,Jawa Barat,Bogor,Tunaiku,850,5882404,08229869353,,2023-08-28 00:00:00,2023-08-28 00:00:00
CUST000626,7464060907152034,86.434.705.7-342.690,Putri Nugroho,F,1977-03-24,,Malang,Senyumku,634,7272239,08148257007,putri626@example.co.id,2025-07-02 00:00:00,2025-07-02 00:00:00
CUST004203,1845530509894747,34.900.918.3-736.756,Hendra Halim,M,1976-09-15,,Depok,Tunaiku,580,6412162,08182637829,hendra4203@example.co.id,2025-08-14 00:00:00,2025-08-14 00:00:00
CUST004820,6837771711882852,,Maya Lestari,F,1977-07-30,,Bekasi,Senyumku,663,4781469,08896692867,maya4820@example.co.id,2026-02-17 00:00:00,2026-02-17 00:00:00
CUST001875,9485432104766919,67.866.416.5-951.878,Putri Rahmawati,F,1995-09-01,,Sidoarjo,Tunaiku,704,4147618,08356512970,putri1875@example.co.id,2024-10-13 00:00:00,2024-10-13 00:00:00
CUST004576,4078182409822535,36.475.821.7-348.383,Joko Permana,M,1986-08-17,,Tangerang,Tunaiku,595,11470094,08832438040,joko4576@example.co.id,2024-04-12 00:00:00,2024-04-12 00:00:00
CUST003407,4039662302234817,,Yusuf Lestari,M,1975-05-10,,Semarang,Tunaiku,697,11123328,08768379988,yusuf2062@example.co.id,2024-01-19 00:00:00,2024-01-19 00:00:00
CUST003407,1724412807211366,44.586.546.1-406.850,Rina Pratama,F,1990-03-16,,Malang,Tunaiku,679,3711026,08517824156,rina3692@example.co.id,2024-02-22 00:00:00,2024-02-22 00:00:00
CUST003407,5219312710000495,57.273.410.3-997.999,Nur Utami,F,1994-05-28,,Bogor,Tunaiku,587,10453678,08960423032,nur2289@example.co.id,2022-05-30 00:00:00,2022-05-30 00:00:00
CUST003407,8368440906076666,36.925.448.8-508.345,Indah Rahmawati,F,1976-03-16,,Jakarta Selatan,Tunaiku,753,6660511,08479116448,indah4127@example.co.id,2021-01-13 00:00:00,2021-01-13 00:00:00
CUST003407,2291841905537799,36.246.755.5-635.561,Bayu Pratama,M,1975-04-29,,Medan,Tunaiku,666,6856215,08742112095,bayu371@example.co.id,2022-01-03 00:00:00,2022-01-03 00:00:00
